Simulation summary:
social distancing 0.7w 0.7s 0.3c test: 250n, 2d
cum_infections: 211939.179
cum_infectious: 211634.108
cum_tests: 60163.677
cum_diagnoses: 23035.275
cum_recoveries: 210346.59
cum_symptomatic: 141530.689
cum_severe: 8967.147
cum_critical: 1680.204
cum_deaths: 985.792
cum_quarantined: 71865.108

social distancing 0.7w 0.7s 0.3c test: 250n, 1d
cum_infections: 207106.613
cum_infectious: 205675.243
cum_tests: 60136.454
cum_diagnoses: 23207.999
cum_recoveries: 200111.312
cum_symptomatic: 137818.645
cum_severe: 8488.68
cum_critical: 1500.636
cum_deaths: 969.075
cum_quarantined: 73939.859

social distancing 0.7w 0.7s 0.3c test: 250n, 3d
cum_infections: 213899.197
cum_infectious: 213954.337
cum_tests: 60175.527
cum_diagnoses: 22559.163
cum_recoveries: 213107.552
cum_symptomatic: 143303.755
cum_severe: 9180.932
cum_critical: 1644.992
cum_deaths: 1019.041
cum_quarantined: 68880.937

social distancing 0.7w 0.7s 0.3c test: 125n, 2d
cum_infections: 222670.367
cum_infectious: 222539.482
cum_tests: 29262.056
cum_diagnoses: 11597.898
cum_recoveries: 221401.34
cum_symptomatic: 149215.548
cum_severe: 9247.506
cum_critical: 1718.16
cum_deaths: 1061.774
cum_quarantined: 36636.144

social distancing 0.7w 0.7s 0.3c test: 125n, 1d
cum_infections: 221292.033
cum_infectious: 221488.211
cum_tests: 29305.057
cum_diagnoses: 11713.432
cum_recoveries: 220609.203
cum_symptomatic: 147825.534
cum_severe: 9423.963
cum_critical: 1675.823
cum_deaths: 1075.703
cum_quarantined: 38331.953

social distancing 0.7w 0.7s 0.3c test: 125n, 3d
cum_infections: 223916.597
cum_infectious: 223557.677
cum_tests: 29201.758
cum_diagnoses: 11081.876
cum_recoveries: 222829.878
cum_symptomatic: 149981.754
cum_severe: 9538.605
cum_critical: 1819.539
cum_deaths: 1156.991
cum_quarantined: 34578.838

social distancing 0.7w 0.7s 0.3c test: 500n, 2d
cum_infections: 183585.076
cum_infectious: 180757.265
cum_tests: 120372.413
cum_diagnoses: 38441.409
cum_recoveries: 177302.556
cum_symptomatic: 120414.373
cum_severe: 7567.462
cum_critical: 1336.622
cum_deaths: 796.647
cum_quarantined: 123926.476

social distancing 0.7w 0.7s 0.3c test: 500n, 1d
cum_infections: 4646.235
cum_infectious: 4588.473
cum_tests: 120361.824
cum_diagnoses: 3144.878
cum_recoveries: 4427.041
cum_symptomatic: 3087.159
cum_severe: 170.499
cum_critical: 34.13
cum_deaths: 25.569
cum_quarantined: 13362.422

social distancing 0.7w 0.7s 0.3c test: 500n, 3d
cum_infections: 196640.583
cum_infectious: 196132.507
cum_tests: 120400.244
cum_diagnoses: 40663.533
cum_recoveries: 193782.076
cum_symptomatic: 130890.639
cum_severe: 8513.511
cum_critical: 1638.544
cum_deaths: 950.293
cum_quarantined: 123010.125

